"Energy production, per person (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000325554,0.000337877,0.000339923,0.000312735,0.000334645,0.000323027,0.000324711,0.000325048,0.000314493,0.000346907,0.000349753,0.000359558,0.000369283,0.000360772,0.000367381,0.000388126,0.000400631,0.000412219,0.000416531,0.000419816,
Belgium,0.001529308,0.00145722,0.0014269,0.001431592,0.00141558,0.001309327,0.001152458,0.001080395,0.000969717,0.000861384,0.000739831,0.000708497,0.000677335,0.000668858,0.000630812,0.00081375,0.000884923,0.000922013,0.000841281,0.000773922,0.000821814,0.00083024,0.000921309,0.001113424,0.00123167,0.001418233,0.001491082,0.001467219,0.00135782,0.001306382,0.001317215,0.001300479,0.001272022,0.001206307,0.00115551,0.001184023,0.001223658,0.001325229,0.001294143,0.001370282,0.001349684,0.001304888,0.001316272,0.001329418,0.001327404,0.001335384,0.001314658,0.00136344,0.001371882,0.00143687,0.001433352
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,0.000344566,0.000343938,0.000343204,0.000342245,0.00034118,0.000339778,0.000338374,0.000337275,0.000336243,0.000335563,0.00039341,0.000394583,0.00033865,0.000333374,0.000411521,0.000418532,0.000403592,0.000384333,0.00037144,0.000371573,0.000365521,0.0003485,0.000347345,0.000338111,0.000327685,0.000330248,0.000315233,0.000300527,0.000282125,0.000221731,0.000221714,0.000222752,0.000219984,0.000219432,0.000219039,0.000232114,0.000232304,0.000232153,0.000231994,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,0.000531332,0.000855753,0.001006858,0.000959016,0.000895661,0.000895703,0.000834599,0.00078907,0.000756828,0.000815506,0.000824918,0.000844274,0.000842441,0.000814054,0.000793087,0.000764287,0.000711294,0.000727923,0.000730292,0.000739391,0.00074139,0.000725225,0.00072122,0.000762704,0.000772781,0.000778191,0.000742629,0.000751316,0.000637663,0.000667209,0.000734368,0.000815496,0.00091294,0.001198156,0.001522361,0.001574208,0.001639177,0.001680906,0.001452368,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00106873,0.001039633,0.000926512,0.00085064,0.000218985,0.00024515,0.000335577,0.000637592,0.000740208,0.000725893,0.000832766,0.000825838,0.000876963,0.000921228,0.000949183,0.000964395,0.001048345,0.001044484,0.001152224,0.001187415,
Botswana,,,,,,,,,,,,,,,,,,,,,,0.000584688,0.000596003,0.000576717,0.000568419,0.00058494,0.00060489,0.000575475,0.000667303,0.00068168,0.000658634,0.000657286,0.000709513,0.000697822,0.000690025,0.000668113,0.000599332,0.000597215,0.000657549,0.00065121,0.000640893,0.000625496,0.000619023,0.000561956,0.00054985,0.000566636,0.000555051,0.000508011,0.000530447,0.000473425,
Brazil,,,,,,,,,,,,0.000498994,0.000499705,0.000496328,0.000506893,0.000498171,0.000488879,0.000492337,0.000492309,0.000509417,0.000528714,0.000534084,0.000557348,0.000613919,0.000705098,0.00075152,0.000733347,0.000743926,0.000724903,0.000731901,0.000696176,0.000688671,0.000677598,0.000673103,0.000694424,0.000692482,0.000721747,0.000756959,0.000788133,0.000822735,0.000850115,0.000860212,0.000933884,0.000981799,0.00099332,0.001047476,0.00109852,0.001139933,0.001191398,0.001191776,
